driver,team,full_throttle_pct,heavy_brake_pct,avg_corner_speed,throttle_smoothness,coast_pct,high_speed_pct,max_speed,brake_aggression,cluster,pca_x,pca_y,archetype,color,full_throttle_pct_norm,heavy_brake_pct_norm,avg_corner_speed_norm,throttle_smoothness_norm,coast_pct_norm,high_speed_pct_norm
ALB,Williams,61.73599999999999,19.816,174.81,38.864,2.912,33.495999999999995,327.2,2.556,1,1.4913557190557405,-0.29190472091540154,Calculated Racers,#64C4FF,60.09040121889279,68.62814645308924,70.88132672840835,77.433531510107,55.49230769230769,65.67902208201892
ALO,Aston Martin,61.35999999999999,15.836666666666666,169.10666666666665,39.63,4.791666666666667,25.941666666666666,321.5,2.9316666666666666,1,-0.6970098323740609,-0.8994222756945326,Calculated Racers,#229971,58.08532249873028,52.69260106788711,60.56299806159808,85.08442330558861,84.41025641025641,44.8271556256572
ANT,Mercedes,63.67,27.415,190.905,37.11,1.845,25.294999999999998,322.5,2.835,0,1.831717036198833,2.2765418602438277,Aggressive Chargers,#27F4D2,70.40375825292028,99.05892448512586,100.0,59.91438763376934,39.07692307692308,43.04219242902208
BEA,Haas F1 Team,60.245,13.665,180.01,35.83,4.05,28.115000000000002,324.0,2.725,1,1.0364728248599515,-0.8813308930258626,Calculated Racers,#B6BABD,52.139410868461134,43.99599542334096,80.28903726039198,47.12960760998813,73.0,50.82610410094638
BOR,Audi,64.39,23.895,169.265,35.495000000000005,2.525,20.585,324.5,2.145,0,1.4303573027677463,1.4293397190450061,Aggressive Chargers,#F50000,74.24327069578467,84.96281464530894,60.84945078612962,43.783590963139204,49.53846153846154,30.04140378548896
BOT,Cadillac,56.42,15.175,164.875,37.83,3.905,25.575,318.5,3.1049999999999995,3,-1.4672997650430504,-0.27225005135059294,Tire Whisperers,#333333,31.74200101574404,50.04290617848971,52.9071720870127,67.10582639714626,70.76923076923077,43.81506309148265
BOT,Kick Sauber,59.29,19.88,157.255,40.3825,3.3225,25.1775,316.0,3.105,3,-1.9401530118316062,0.5437904796486108,Tire Whisperers,#52E252,47.04672422549517,68.88443935926773,39.12125780745206,92.60047562425683,61.80769230769231,42.71786277602523
COL,Alpine,63.32,26.78,183.225,35.375,2.41,27.115000000000002,325.5,2.545,0,2.295934370834919,1.8091719395333017,Aggressive Chargers,#FF87BC,68.53732859319452,96.51601830663617,86.10553521430109,42.58501783590967,47.769230769230774,48.06585173501578
COL,Williams,69.22,14.66,186.86,37.38,1.3,45.93,348.0,2.28,1,6.471470852239987,-1.153610200153808,Calculated Racers,#64C4FF,100.0,47.98054919908467,92.68188671117814,62.61117717003572,30.692307692307693,100.0
GAS,Alpine,56.86166666666667,17.294999999999998,169.615,40.25666666666667,4.815,23.88,317.8333333333333,3.0316666666666667,3,-2.017156309465415,-0.6915486670644648,Tire Whisperers,#FF87BC,34.097257491112266,58.53260869565217,61.48266207193626,91.34363852556481,84.76923076923077,39.13643533123028
HAD,Red Bull Racing,57.105000000000004,12.485,181.475,39.79,5.805,30.905,327.5,2.215,1,0.2827353556205815,-3.2245471974068898,Calculated Racers,#3671C6,35.394870492635874,39.27059496567506,82.93947878526814,86.68252080856122,100.0,58.52720820189275
HAM,Ferrari,60.785,10.17,187.055,37.015,4.72,27.415,322.0,2.235,1,1.1738363437179624,-2.39168058337178,Calculated Racers,#E8002D,55.019045200609426,30.0,93.0346758561275,58.965517241379345,83.3076923076923,48.893927444794954
HAM,Mercedes,62.6725,17.5175,160.1525,38.322500000000005,1.56,29.014999999999997,319.75,2.8425000000000002,3,0.25520486778403584,0.7996970514206042,Tire Whisperers,#27F4D2,65.08443372270187,59.42362700228833,44.363342666379495,72.024970273484,34.69230769230769,53.31033123028391
HUL,Audi,63.605000000000004,25.495,175.655,35.405,1.255,29.799999999999997,324.5,3.0250000000000004,0,2.0504904772395407,2.5580128943327245,Aggressive Chargers,#F50000,70.05713560182836,91.37013729977119,72.4100796898557,42.88466111771705,30.0,55.477129337539424
HUL,Haas F1 Team,61.805,18.1925,164.795,39.825,2.7199999999999998,28.195,321.75,3.3375,3,-0.522606221983058,0.6854886220826939,Tire Whisperers,#B6BABD,60.45835449466735,62.12671624713959,52.76243807882831,87.03210463733653,52.53846153846153,51.04692429022082
LAW,Racing Bulls,61.43,16.31,176.875,37.505,3.45,28.259999999999998,330.5,2.3499999999999996,1,1.5777198607240446,-0.8325485928427727,Calculated Racers,#6692FF,58.45860843067547,54.588100686498855,74.61727331466724,63.8596908442331,63.769230769230774,51.226340694006296
LEC,Ferrari,61.276666666666664,15.37,172.51666666666665,36.92333333333334,2.7733333333333334,29.445000000000004,321.0,2.9433333333333334,1,0.6636634243241112,0.056574246417004107,Calculated Racers,#E8002D,57.640934484509884,50.82379862700229,66.73228516045657,58.049940546967974,53.358974358974365,54.49723974763408
LIN,Racing Bulls,61.35,20.995,176.01,37.205,3.205,30.6,327.0,2.565,1,1.5048293477432277,0.14629164168399494,Calculated Racers,#6692FF,58.03199593702388,73.34954233409613,73.05233685117379,60.86325802615934,60.0,57.685331230283914
MAG,Haas F1 Team,58.165,20.175,159.7975,40.5075,3.2750000000000004,23.9525,318.5,3.23,3,-2.066913827981585,0.7193283867228754,Tire Whisperers,#B6BABD,41.04748603351955,70.06578947368422,43.7210855050614,93.84898929845421,61.07692307692309,39.33655362776025
NOR,McLaren,60.74333333333334,13.898333333333333,173.0716666666667,39.945,5.663333333333333,28.94666666666667,318.8333333333333,2.635,1,-0.550862189217757,-2.151079388217017,Calculated Racers,#FF8000,54.79685119349927,44.930396643783375,67.73637734223564,88.230677764566,97.82051282051282,53.12171398527866
OCO,Alpine,56.6525,21.134999999999998,154.795,39.72,2.0300000000000002,23.822499999999998,314.25,3.49,3,-2.5918363235459707,1.817812821457519,Tire Whisperers,#FF87BC,32.98184357541901,73.91018306636155,34.67068705578287,85.98335315101069,41.92307692307693,38.97772082018927
OCO,Haas F1 Team,65.205,22.325,182.935,34.114999999999995,3.29,28.17,324.5,3.54,0,1.9599863833348905,2.015469223686469,Aggressive Chargers,#B6BABD,78.58938547486034,78.67562929061785,85.58087443463279,30.0,61.307692307692314,50.977917981072565
PER,Cadillac,58.88,12.945,170.65,38.89,2.655,24.369999999999997,324.5,2.675,1,-0.25629872500931616,-0.6165471333982088,Calculated Racers,#333333,44.86033519553074,41.112700228832956,63.35515830282146,77.6932223543401,51.53846153846154,40.48895899053627
PER,Red Bull Racing,58.86,18.225,157.9875,40.8275,3.1399999999999997,23.45,314.75,2.95,3,-2.1814448433174145,0.22658240700937668,Tire Whisperers,#3671C6,44.753682072117826,62.25686498855836,40.44647856989017,97.04518430439951,59.0,37.94952681388013
PIA,McLaren,60.080000000000005,14.476666666666667,173.29333333333332,40.07,5.705000000000001,29.446666666666662,318.5,2.5383333333333336,1,-0.5809964170576501,-2.2552327269085213,Calculated Racers,#FF8000,51.25952260030475,47.2463768115942,68.13741115657977,89.47919143876337,98.46153846153848,54.501840168243945
RIC,RB,60.932500000000005,16.59,165.9,39.95,4.092499999999999,26.8625,320.25,2.7775,1,-0.7178884472717848,-0.7250907210880863,Calculated Racers,#6692FF,55.805611985779606,55.70938215102975,54.761576566874865,88.28061831153391,73.65384615384615,47.3688880126183
RUS,Mercedes,62.873333333333335,16.046666666666667,164.46166666666667,39.04333333333334,4.0616666666666665,29.218333333333334,321.6666666666667,2.5816666666666666,1,0.17816181805224535,-0.9397342007761937,Calculated Racers,#27F4D2,66.1554088369731,53.53356216628528,52.1593797113935,79.22473246135556,73.17948717948718,53.8715825446898
SAI,Ferrari,61.8675,17.3875,157.86,37.7175,2.08,28.945,321.5,3.025,3,0.04098351611106641,0.8260255600256536,Tire Whisperers,#E8002D,60.79164550533265,58.903032036613276,40.21580874434635,65.98216409036863,42.69230769230769,53.11711356466877
SAI,Williams,56.16,27.65,176.71,39.56,4.3,21.92,336.0,3.87,3,-1.1029403335664494,2.0219281361049197,Tire Whisperers,#64C4FF,30.35551041137631,100.0,74.318759422787,84.38525564803808,76.84615384615385,33.72634069400631
SAR,Williams,56.093333333333334,19.636666666666667,152.21333333333334,41.123333333333335,3.966666666666667,20.57,309.6666666666667,3.2133333333333334,3,-3.8572213291698136,0.4794985383256607,Tire Whisperers,#64C4FF,30.0,67.90999237223494,30.0,100.0,71.71794871794873,30.0
STR,Aston Martin,62.116,17.516,164.99,39.372,4.023999999999999,25.913999999999998,318.4,3.188,3,-0.9349088922802945,0.0825151846914745,Tire Whisperers,#229971,62.116810563737936,59.41762013729977,53.11522722377774,82.50749108204519,72.6,44.75078864353312
TSU,RB,61.9025,16.322499999999998,162.54500000000002,39.815,4.135,28.1825,318.25,2.7575,1,-0.6813968199015178,-0.7856180581560016,Calculated Racers,#6692FF,60.97828847130525,54.638157894736835,48.69179409864314,86.93222354340068,74.3076923076923,51.01242113564669
VER,Red Bull Racing,61.705999999999996,16.384,166.668,40.198,3.95,27.628000000000004,321.8,2.996,1,-0.579266502153878,-0.5276151153371865,Calculated Racers,#3671C6,59.93042153377347,54.88443935926774,56.15102304544476,90.7576694411415,71.46153846153847,49.48186119873818
ZHO,Kick Sauber,59.0175,18.435,159.43,40.275,3.3274999999999997,26.505,319.25,3.0425,3,-1.4987197094382614,0.1456918132756016,Tire Whisperers,#52E252,45.593575418994405,63.09782608695652,43.056213654964466,91.52675386444707,61.88461538461539,46.3820977917981
